order_by_col_read_row,order_by_row_read_col
1,1
13,9
25,17
37,25
49,33
61,41
73,49
85,57
2,65
14,73
26,2
38,10
50,18
62,26
74,34
86,42
3,50
15,58
27,66
39,74
51,3
63,11
75,19
87,27
4,35
16,43
28,51
40,59
52,67
64,75
76,4
88,12
5,20
17,28
29,36
41,44
53,52
65,60
77,68
89,76
6,5
18,13
30,21
42,29
54,37
66,45
78,53
90,61
7,69
19,77
31,6
43,14
55,22
67,30
79,38
91,46
8,54
20,62
32,70
44,78
56,7
68,15
80,23
92,31
9,39
21,47
33,55
45,63
57,71
69,79
81,8
93,16
10,24
22,32
34,40
46,48
58,56
70,64
82,72
94,80)
11,
23,
35,
47,
59,
71,
83,
95,
12,
24,
36,
48,
60,
72,
84,
96,
