Bracket Type=4,,,,,,,,,,,
Sample Type,File Name,Sample ID,Comment,L2 Client,Path,Instrument Method,Position,Inj Vol,L1 Study,L3 Laboratory,Sample Name
Unknown,R250520_CLU0120_C18pos_001,Instrument_Blank_05_01_1,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18pos_120k_BottomPump_Channel1,Y:A3,0,CLU0120_MEC,MC,Blank
Unknown,R250520_CLU0120_C18neg_001,Instrument_Blank_05_01_2,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18neg_120k_TopPump_Channel2,Y:A3,0,CLU0120_MEC,MC,Blank
Unknown,R250520_CLU0120_C18pos_002,Water_05_01_1,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18pos_120k_BottomPump_Channel1,R:J7,7.5,CLU0120_MEC,MC,Water
Unknown,R250520_CLU0120_C18neg_002,Water_05_01_2,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18neg_120k_TopPump_Channel2,R:J7,10,CLU0120_MEC,MC,Water
Unknown,R250520_CLU0120_C18pos_003,NIST1950_05_1,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18pos_120k_BottomPump_Channel1,R:B9,7.5,CLU0120_MEC,MC,NIST
Unknown,R250520_CLU0120_C18neg_003,NIST1950_05_2,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18neg_120k_TopPump_Channel2,R:B9,10,CLU0120_MEC,MC,NIST
Unknown,R250520_CLU0120_C18pos_004,AM-S-Y2405_05_01_1,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18pos_120k_BottomPump_Channel1,R:N7,7.5,CLU0120_MEC,MC,AMAP
Unknown,R250520_CLU0120_C18neg_004,AM-S-Y2405_05_01_2,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18neg_120k_TopPump_Channel2,R:N7,10,CLU0120_MEC,MC,AMAP
Unknown,R250520_CLU0120_C18pos_005,HRE.p1Std.112020_05_01_1,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18pos_120k_BottomPump_Channel1,R:B3,7.5,CLU0120_MEC,MC,HRE_Pool
Unknown,R250520_CLU0120_C18neg_005,HRE.p1Std.112020_05_01_2,5,9,E:/Projects/CLU0120_250501_MEC_C18/1-Raw_Files/Batch_05_250520/,C:\Xcalibur\methods\Aria_C18_Methods\240408_C18neg_120k_TopPump_Channel2,R:B3,10,CLU0120_MEC,MC,HRE_Pool
