Bracket Type=4,,,,,,,,,,,
Sample Type,File Name,Sample ID,Comment,L2 Client,Path,Instrument Method,Position,Inj Vol,L1 Study,L3 Laboratory,Sample Name
Unknown,N250529_CLU0120_HILICpos_001,Instrument_Blank_08_01_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,Y:A3,0,CLU0120_MEC,MC,Blank
Unknown,N250529_CLU0120_HILICneg_001,Instrument_Blank_08_01_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,Y:A3,0,CLU0120_MEC,MC,Blank
Unknown,N250529_CLU0120_HILICpos_002,Water_08_01_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:J7,5,CLU0120_MEC,MC,Water
Unknown,N250529_CLU0120_HILICneg_002,Water_08_01_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:J7,5,CLU0120_MEC,MC,Water
Unknown,N250529_CLU0120_HILICpos_003,NIST1950_08_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:B9,5,CLU0120_MEC,MC,NIST
Unknown,N250529_CLU0120_HILICneg_003,NIST1950_08_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:B9,5,CLU0120_MEC,MC,NIST
Unknown,N250529_CLU0120_HILICpos_004,AM-S-Y2405_08_01_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:N7,5,CLU0120_MEC,MC,AMAP
Unknown,N250529_CLU0120_HILICneg_004,AM-S-Y2405_08_01_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:N7,5,CLU0120_MEC,MC,AMAP
Unknown,N250529_CLU0120_HILICpos_005,HRE.p1Std.112020_08_01_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:B3,5,CLU0120_MEC,MC,HRE_Pool
Unknown,N250529_CLU0120_HILICneg_005,HRE.p1Std.112020_08_01_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:B3,5,CLU0120_MEC,MC,HRE_Pool
Unknown,N250529_CLU0120_HILICpos_006,HRE.p2Std.112020_08_01_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:F5,5,CLU0120_MEC,MC,HRE_Pool
Unknown,N250529_CLU0120_HILICneg_006,HRE.p2Std.112020_08_01_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:F5,5,CLU0120_MEC,MC,HRE_Pool
Unknown,N250529_CLU0120_HILICpos_007,K0821454_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A1,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_007,K0821454_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A1,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_008,K0821445_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A3,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_008,K0821445_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A3,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_009,K0821470_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A5,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_009,K0821470_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A5,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_010,K0821461_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A7,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_010,K0821461_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A7,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_011,K0821486_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A9,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_011,K0821486_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A9,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_012,K0821477_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A11,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_012,K0821477_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A11,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_013,K0821502_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A13,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_013,K0821502_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A13,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_014,K0821493_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A15,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_014,K0821493_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A15,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_015,K0821518_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A17,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_015,K0821518_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A17,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_016,K0821509_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:A19,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_016,K0821509_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:A19,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_017,K0821455_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C1,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_017,K0821455_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C1,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_018,K0821446_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C3,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_018,K0821446_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C3,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_018_PFAS-MSMS,K0821446_1_PFAS-MSMS,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529//MSMS,C:\Xcalibur\methods\Aria Methods\240802_HILICpos_BottomPump_Channel1_Water_PFAS-inc-ddMS2,G:C3,5,CLU0120_MEC,MC,PFAS-MSMS
Unknown,N250529_CLU0120_HILICneg_018_PFAS-MSMS,K0821446_2_PFAS-MSMS,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529//MSMS,C:\Xcalibur\methods\Aria Methods\240802_HILICneg_TopPump_Channel2_Water_PFAS-inc-ddMS2,G:C3,5,CLU0120_MEC,MC,PFAS-MSMS
Unknown,N250529_CLU0120_HILICpos_019,K0821471_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C5,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_019,K0821471_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C5,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_020,K0821462_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C7,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_020,K0821462_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C7,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_021,K0821487_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C9,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_021,K0821487_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C9,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_022,K0821478_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C11,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_022,K0821478_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C11,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICpos_023,K0821503_1,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,G:C13,5,CLU0120_MEC,MC,Study_Sample
Unknown,N250529_CLU0120_HILICneg_023,K0821503_2,8,15,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_08_250529/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,G:C13,5,CLU0120_MEC,MC,Study_Sample
