Batch_Run_Order	Plate_Position	Batch_Number	Sample.ID	Class
1	Y:A3	21	Instrument_Blank	QAQC
2	G:B1	21	Water	QAQC
3	G:F9	21	 NIST1950	QAQC
4	G:J3	21	AM-S-Y2406	QAQC
5	G:N3	21	HRE.p1Std.112020	QAQC
6	G:B7	21	HRE.p2Std.112020	QAQC
7	G:A1	21	 K0866574	QAQC
8	G:A3	21	 K0866565	QAQC
9	G:A5	21	 K0866590	QAQC
10	G:A7	21	 K0866581	QAQC
11	G:A9	21	 K0866606	QAQC
12	G:A11	21	 K0866597	QAQC
13	G:A13	21	 K0866622	QAQC
14	G:A15	21	 K0866613	QAQC
15	G:A17	21	 K0866638	QAQC
16	G:A19	21	 K0866629	QAQC
17	G:C1	21	 K0866575	QAQC
18	G:C3	21	 K0866566	QAQC
19	G:C5	21	 K0866591	QAQC
20	G:C7	21	 K0867840	QAQC
21	G:C9	21	 K0866607	QAQC
22	G:C11	21	 K0866598	QAQC
23	G:C13	21	 K0866623	QAQC
24	G:C15	21	 K0866614	QAQC
25	G:C17	21	 K0858321	QAQC
26	G:C19	21	 K0866630	QAQC
27	G:P3	21	HRE.p1Std.112020	QAQC
28	G:D7	21	HRE.p2Std.112020	QAQC
29	G:E1	21	 K0866576	QAQC
30	G:E3	21	 K0866567	QAQC
31	G:E5	21	 K0866592	QAQC
32	G:E7	21	 K0866583	QAQC
33	G:E9	21	 K0866608	QAQC
34	G:E11	21	 K0866599	QAQC
35	G:E13	21	 K0866624	QAQC
36	G:E15	21	 K0866615	QAQC
37	G:E17	21	 K0866640	QAQC
38	G:E19	21	 K0866631	QAQC
39	G:G1	21	 K0866577	QAQC
40	G:G3	21	 K0866568	QAQC
41	G:G5	21	 K0866593	QAQC
42	G:G7	21	 K0866584	QAQC
43	G:G9	21	 K0866609	QAQC
44	G:G11	21	 K0866600	QAQC
45	G:G13	21	 K0866625	QAQC
46	G:G15	21	 K0866616	QAQC
47	G:G17	21	 K0866641	QAQC
48	G:G19	21	 K0866632	QAQC
49	G:B5	21	HRE.p1Std.112020	QAQC
50	G:F7	21	HRE.p2Std.112020	QAQC
51	G:I1	21	 K0866578	QAQC
52	G:I3	21	 K0866569	QAQC
53	G:I5	21	 K0866594	QAQC
54	G:I7	21	 K0866585	QAQC
55	G:I9	21	 K0866610	QAQC
56	G:I11	21	 K0866601	QAQC
57	G:I13	21	 K0866626	QAQC
58	G:I15	21	 K0866617	QAQC
59	G:I17	21	 K0866642	QAQC
60	G:I19	21	 K0866633	QAQC
61	G:K1	21	 K0866579	QAQC
62	G:K3	21	 K0866570	QAQC
63	G:K5	21	 K0866595	QAQC
64	G:K7	21	 K0866586	QAQC
65	G:K9	21	 K0866611	QAQC
66	G:K11	21	 K0866602	QAQC
67	G:K13	21	 K0866627	QAQC
68	G:K15	21	 K0866618	QAQC
69	G:K17	21	 K0866643	QAQC
70	G:K19	21	 K0866634	QAQC
71	G:D5	21	HRE.p1Std.112020	QAQC
72	G:H7	21	HRE.p2Std.112020	QAQC
73	G:M1	21	 K0866580	QAQC
74	G:M3	21	 K0866571	QAQC
75	G:M5	21	 K0866596	QAQC
76	G:M7	21	 K0866587	QAQC
77	G:M9	21	 K0866612	QAQC
78	G:M11	21	 K0866603	QAQC
79	G:M13	21	 K0866628	QAQC
80	G:M15	21	 K0866619	QAQC
81	G:M17	21	 K0866644	QAQC
82	G:M19	21	 K0866635	QAQC
83	G:O1	21	 K0866861	QAQC
84	G:O3	21	 K0866572	QAQC
85	G:O5	21	 K0866877	QAQC
86	G:O7	21	 K0866588	QAQC
87	G:O9	21	 K0866893	QAQC
88	G:O11	21	 K0866604	QAQC
89	G:O13	21	 K0866909	QAQC
90	G:O15	21	 K0866620	QAQC
91	G:O17	21	 K0866925	QAQC
92	G:O19	21	 K0866636	QAQC
93	G:F5	21	HRE.p1Std.112020	QAQC
94	G:J7	21	HRE.p2Std.112020	QAQC
95	Y:A3	21	Instrument_Blank	QAQC
96	G:F1	21	FBS_0ng-mL	QAQC
97	G:H1	21	FBS_0.05ng-mL	QAQC
98	G:J1	21	FBS_0.1ng-mL	QAQC
99	G:N1	21	FBS_0.5ng-mL	QAQC
100	G:B3	21	FBS_1ng-mL	QAQC
101	G:D3	21	FBS_5ng-mL	QAQC
102	G:F3	21	FBS_10ng-mL	QAQC
103	G:H3	21	FBS_40ng-mL	QAQC
104	Y:A3	21	Instrument_Blank	QAQC
105	G:H5	21	HRE.p1Std.112020	QAQC
106	G:B9	21	HRE.p2Std.112020	QAQC
107	G:A2	21	 K0866862	QAQC
108	G:C2	21	 K0866863	QAQC
109	G:E2	21	 K0866864	QAQC
110	G:G2	21	 K0866865	QAQC
111	G:I2	21	 K0866866	QAQC
112	G:K2	21	 K0866867	QAQC
113	G:M2	21	 K0866868	QAQC
114	G:O2	21	 K0866189	QAQC
115	G:A4	21	 K0866853	QAQC
116	G:C4	21	 K0866854	QAQC
117	G:E4	21	 K0866855	QAQC
118	G:G4	21	 K0866856	QAQC
119	G:I4	21	 K0866857	QAQC
120	G:K4	21	 K0866858	QAQC
121	G:M4	21	 K0866859	QAQC
122	G:O4	21	 K0866860	QAQC
123	G:A6	21	 K0866878	QAQC
124	G:C6	21	 K0866879	QAQC
125	G:J5	21	HRE.p1Std.112020	QAQC
126	G:D9	21	HRE.p2Std.112020	QAQC
127	G:L3	21	AM-S-Y2406	QAQC
128	G:D1	21	Water	QAQC
129	Y:A3	21	Instrument_Blank	QAQC
