Bracket Type=4,,,,,,,,,,,
Sample Type,File Name,Sample ID,Comment,L2 Client,Path,Instrument Method,Position,Inj Vol,L1 Study,L3 Laboratory,Sample Name
Unknown,N250527_CLU0120_HILICpos_001,Instrument_Blank_07_01_1,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,Y:A3,0,CLU0120_MEC,CM,Blank
Unknown,N250527_CLU0120_HILICneg_001,Instrument_Blank_07_01_2,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,Y:A3,0,CLU0120_MEC,CM,Blank
Unknown,N250527_CLU0120_HILICpos_002,Water_07_01_1,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,R:J7,5,CLU0120_MEC,CM,Water
Unknown,N250527_CLU0120_HILICneg_002,Water_07_01_2,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,R:J7,5,CLU0120_MEC,CM,Water
Unknown,N250527_CLU0120_HILICpos_003,NIST1950_07_01_1,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,R:B9,5,CLU0120_MEC,CM,NIST
Unknown,N250527_CLU0120_HILICneg_003,NIST1950_07_01_2,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,R:B9,5,CLU0120_MEC,CM,NIST
Unknown,N250527_CLU0120_HILICpos_004,AM-S-Y2405_07_01_1,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,R:N7,5,CLU0120_MEC,CM,AMAP
Unknown,N250527_CLU0120_HILICneg_004,AM-S-Y2405_07_01_2,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,R:N7,5,CLU0120_MEC,CM,AMAP
Unknown,N250527_CLU0120_HILICpos_005,HRE.p1Std.112020_07_01_1,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240611_HILICpos_120k_BottomPump_Channel1,R:B3,5,CLU0120_MEC,CM,HRE_Pool
Unknown,N250527_CLU0120_HILICneg_005,HRE.p1Std.112020_07_01_2,7,13,E:/Projects/CLU0120_MEC_HILIC/1-Raw_Files/Batch_07_250527/,C:\Xcalibur\methods\Aria Methods\240411_HILICneg_120k_TopPump_Channel2,R:B3,5,CLU0120_MEC,CM,HRE_Pool
