Batch_Run_Order	Plate_Position	Batch_Number	Sample.ID	Class
1	Y:A3	1	Instrument_Blank	QAQC
2	R:F5	1	Water	QAQC
3	R:N5	1	 NIST1950	QAQC
4	R:J5	1	AM-S-Y2405	QAQC
5	R:B3	1	HRE.p1Std.112020	QAQC
6	R:L3	1	HRE.p2Std.112020	QAQC
7	R:A1	1	K0822693	QAQC
8	R:A3	1	K0822701	QAQC
9	R:A5	1	K0822709	QAQC
10	R:A7	1	K0822717	QAQC
11	R:A9	1	K0822725	QAQC
12	R:A11	1	K0822733	QAQC
13	R:A13	1	K0822741	QAQC
14	R:A15	1	K0822749	QAQC
15	R:A17	1	K0822757	QAQC
16	R:A19	1	K0822765	QAQC
17	R:C1	1	K0822694	QAQC
18	R:C3	1	K0822702	QAQC
19	R:C5	1	K0822710	QAQC
20	R:C7	1	K0822718	QAQC
21	R:C9	1	K0822726	QAQC
22	R:C11	1	K0822734	QAQC
23	R:C13	1	K0822742	QAQC
24	R:C15	1	K0822750	QAQC
25	R:C17	1	K0822758	QAQC
26	R:C19	1	K0822766	QAQC
27	R:E1	1	K0822695	QAQC
28	R:E3	1	K0822703	QAQC
29	R:D3	1	HRE.p1Std.112020	QAQC
30	R:N3	1	HRE.p2Std.112020	QAQC
31	R:E5	1	K0822711	QAQC
32	R:E7	1	K0822719	QAQC
33	R:E9	1	K0822727	QAQC
34	R:E11	1	K0822735	QAQC
35	R:E13	1	K0822743	QAQC
36	R:E15	1	K0822751	QAQC
37	R:E17	1	K0822759	QAQC
38	R:E19	1	K0822767	QAQC
39	R:G1	1	K0822696	QAQC
40	R:G3	1	K0822704	QAQC
41	R:G5	1	K0823801	QAQC
42	R:G7	1	K0822720	QAQC
43	R:G9	1	K0822728	QAQC
44	Y:A3	1	Instrument_Blank	QAQC
45	R:B1	1	FBS_0ng-mL_1	QAQC
46	R:D1	1	FBS_0-05ng-mL_1	QAQC
47	R:F1	1	FBS_0-01ng-mL_1	QAQC
48	R:H1	1	FBS_0-5ng-mL_1	QAQC
49	R:J1	1	FBS_1ng-mL_1	QAQC
50	R:L1	1	FBS_5ng-mL_1	QAQC
51	R:N1	1	FBS_10ng-mL_1	QAQC
52	R:P1	1	FBS_40ng-mL_1	QAQC
53	Y:A3	1	Instrument_Blank	QAQC
54	R:F3	1	HRE.p1Std.112020	QAQC
55	R:P3	1	HRE.p2Std.112020	QAQC
56	R:G11	1	K0822736	QAQC
57	R:G13	1	K0822744	QAQC
58	R:G15	1	K0822752	QAQC
59	R:G17	1	K0822760	QAQC
60	R:G19	1	K0822768	QAQC
61	R:I1	1	K0822697	QAQC
62	R:I3	1	K0822705	QAQC
63	R:I5	1	K0822713	QAQC
64	R:I7	1	K0822721	QAQC
65	R:I9	1	K0822729	QAQC
66	R:I11	1	K0822737	QAQC
67	R:I13	1	K0822745	QAQC
68	R:I15	1	K0822753	QAQC
69	R:I17	1	K0822761	QAQC
70	R:I19	1	K0822769	QAQC
71	R:K1	1	K0822698	QAQC
72	R:K3	1	K0822706	QAQC
73	R:K5	1	K0822714	QAQC
74	R:K7	1	K0822722	QAQC
75	R:K9	1	K0822730	QAQC
76	R:K11	1	K0822738	QAQC
77	R:K13	1	K0822746	QAQC
78	R:H3	1	HRE.p1Std.112020	QAQC
79	R:B5	1	HRE.p2Std.112020	QAQC
80	R:K15	1	K0822754	QAQC
81	R:K17	1	K0822762	QAQC
82	R:K19	1	K0822770	QAQC
83	R:M1	1	K0822699	QAQC
84	R:M3	1	K0822707	QAQC
85	R:M5	1	K0822715	QAQC
86	R:M7	1	K0822723	QAQC
87	R:M9	1	K0822731	QAQC
88	R:M11	1	K0822739	QAQC
89	R:M13	1	K0822747	QAQC
90	R:M15	1	K0822755	QAQC
91	R:M17	1	K0822763	QAQC
92	R:M19	1	K0822771	QAQC
93	R:O1	1	K0822700	QAQC
94	R:O3	1	K0822708	QAQC
95	R:O5	1	K0822716	QAQC
96	R:O7	1	K0822724	QAQC
97	R:O9	1	K0822732	QAQC
98	R:O11	1	K0822740	QAQC
99	R:O13	1	K0822748	QAQC
100	R:O15	1	K0822756	QAQC
101	R:O17	1	K0822764	QAQC
102	R:O19	1	K0822772	QAQC
103	R:J3	1	HRE.p1Std.112020	QAQC
104	R:D5	1	HRE.p2Std.112020	QAQC
105	R:L5	1	AM-S-Y2406	QAQC
106	R:H5	1	Water	QAQC
107	Y:A3	1	Instrument_Blank	QAQC
108	Y:A3	1	Instrument_Blank	QAQC
109	R:F11	1	Water	QAQC
110	R:N11	1	 NIST1950	QAQC
111	R:J11	1	AM-S-Y2405	QAQC
112	R:B9	1	HRE.p1Std.112020	QAQC
113	R:L9	1	HRE.p2Std.112020	QAQC
114	R:A2	1	K0823653	QAQC
115	R:A4	1	K0823661	QAQC
116	R:A6	1	K0807885	QAQC
117	R:A8	1	K0823677	QAQC
118	R:A10	1	K0823685	QAQC
119	R:A12	1	K0823693	QAQC
120	R:A14	1	K0823701	QAQC
121	R:A16	1	K0823709	QAQC
122	R:A18	1	K0823717	QAQC
123	R:A20	1	K0823725	QAQC
124	R:C2	1	K0823654	QAQC
125	R:C4	1	K0823662	QAQC
126	R:C6	1	K0823670	QAQC
127	R:C8	1	K0823678	QAQC
128	R:C10	1	K0823686	QAQC
129	R:C12	1	K0823694	QAQC
130	R:C14	1	K0823702	QAQC
131	R:C16	1	K0823710	QAQC
132	R:C18	1	K0823718	QAQC
133	R:C20	1	K0823726	QAQC
134	R:E2	1	K0823655	QAQC
135	R:E4	1	K0823663	QAQC
136	R:D9	1	HRE.p1Std.112020	QAQC
137	R:N9	1	HRE.p2Std.112020	QAQC
138	R:E6	1	K0823671	QAQC
139	R:E8	1	K0823679	QAQC
140	R:E10	1	K0823687	QAQC
141	R:E12	1	K0823695	QAQC
142	R:E14	1	K0823703	QAQC
143	R:E16	1	K0823711	QAQC
144	R:E18	1	K0823719	QAQC
145	R:E20	1	K0823727	QAQC
146	R:G2	1	K0823785	QAQC
147	R:G4	1	K0823664	QAQC
148	R:G6	1	K0823672	QAQC
149	R:G8	1	K0823680	QAQC
150	R:G10	1	K0823688	QAQC
151	Y:A3	1	Instrument_Blank	QAQC
152	R:B7	1	FBS_0ng-mL_1	QAQC
153	R:D7	1	FBS_0-05ng-mL_1	QAQC
154	R:F7	1	FBS_0-01ng-mL_1	QAQC
155	R:H7	1	FBS_0-5ng-mL_1	QAQC
156	R:J7	1	FBS_1ng-mL_1	QAQC
157	R:L7	1	FBS_5ng-mL_1	QAQC
158	R:N7	1	FBS_10ng-mL_1	QAQC
159	R:P7	1	FBS_40ng-mL_1	QAQC
160	Y:A3	1	Instrument_Blank	QAQC
161	R:F9	1	HRE.p1Std.112020	QAQC
162	R:P9	1	HRE.p2Std.112020	QAQC
163	R:G12	1	K0823696	QAQC
164	R:G14	1	K0823704	QAQC
165	R:G16	1	K0823712	QAQC
166	R:G18	1	K0823720	QAQC
167	R:G20	1	K0823728	QAQC
168	R:I2	1	K0823657	QAQC
169	R:I4	1	K0823665	QAQC
170	R:I6	1	K0823673	QAQC
171	R:I8	1	K0823681	QAQC
172	R:I10	1	K0823689	QAQC
173	R:I12	1	K0823697	QAQC
174	R:I14	1	K0823705	QAQC
175	R:I16	1	K0823713	QAQC
176	R:I18	1	K0823721	QAQC
177	R:I20	1	K0823729	QAQC
178	R:K2	1	K0823658	QAQC
179	R:K4	1	K0823666	QAQC
180	R:K6	1	K0823675	QAQC
181	R:K8	1	K0823682	QAQC
182	R:K10	1	K0823690	QAQC
183	R:K12	1	K0823698	QAQC
184	R:K14	1	K0823706	QAQC
185	R:H9	1	HRE.p1Std.112020	QAQC
186	R:B11	1	HRE.p2Std.112020	QAQC
187	R:K16	1	K0823714	QAQC
188	R:K18	1	K0823722	QAQC
189	R:K20	1	K0823730	QAQC
190	R:M2	1	K0823659	QAQC
191	R:M4	1	K0823667	QAQC
192	R:M6	1	K0823674	QAQC
193	R:M8	1	K0823683	QAQC
194	R:M10	1	K0823691	QAQC
195	R:M12	1	K0823699	QAQC
196	R:M14	1	K0823707	QAQC
197	R:M16	1	K0823715	QAQC
198	R:M18	1	K0823723	QAQC
199	R:M20	1	K0823731	QAQC
200	R:O2	1	K0823660	QAQC
201	R:O4	1	K0823668	QAQC
202	R:O6	1	K0823676	QAQC
203	R:O8	1	K0823684	QAQC
204	R:O10	1	K0823692	QAQC
205	R:O12	1	K0823700	QAQC
206	R:O14	1	K0823708	QAQC
207	R:O16	1	K0823716	QAQC
208	R:O18	1	K0823724	QAQC
209	R:O20	1	K0823732	QAQC
210	R:J9	1	HRE.p1Std.112020	QAQC
211	R:D11	1	HRE.p2Std.112020	QAQC
212	R:L11	1	AM-S-Y2406	QAQC
213	R:H11	1	Water	QAQC
214	Y:A3	1	Instrument_Blank	QAQC
